,NO.1_8.775 m,NO.2_11.938 m,NO.3_25.605 m,NO.4_41.577 m,NO.5_50.306 m,NO.6_67.395 m,NO.7_86.914 m,NO.8_117.442 m,NO.9_122.818 m,NO.10_156.59 m,NO.11_161.876 m,NO.12_172.889 m,NO.13_177.694 m,NO.14_185.386 m,NO.15_198.421 m,NO.16_220.335 m,NO.17_228.408 m,NO.18_232.852 m,NO.19_242.032 m,NO.20_252.265 m,NO.21_272.728 m,NO.22_283.383 m,NO.23_288.7 m,NO.24_294.698 m,NO.25_296.425 m
2003-12-03 00:00:00,8.775,11.938,25.605,41.577,50.306,67.395,86.914,117.442,122.818,156.59,161.876,172.889,177.694,185.386,198.421,220.335,228.408,232.852,242.032,252.265,272.728,283.383,288.7,294.698,
2004-01-09 00:00:00,8.774,11.941,25.606,41.575,50.304,67.394,86.914,117.44,122.817,156.589,161.875,172.888,177.693,185.382,198.419,220.332,228.405,232.85,242.033,252.262,272.727,283.376,288.694,294.69,
2004-02-12 00:00:00,8.775,11.94,25.605,41.578,50.306,67.391,86.911,117.439,122.815,156.583,161.87,172.882,177.688,185.375,198.41,220.324,228.397,232.84,242.022,252.247,272.712,283.362,288.68,294.676,
2004-03-17 00:00:00,8.777,11.94,25.605,41.577,50.304,67.39,86.909,117.432,122.808,156.574,161.859,172.872,177.679,185.364,198.4,220.314,228.386,232.828,242.011,252.236,272.698,283.346,288.663,294.658,
2004-04-27 00:00:00,8.777,11.94,25.605,41.576,50.303,67.39,86.908,117.43,122.804,156.57,161.857,172.87,177.676,185.359,198.397,220.31,228.381,232.823,242.004,252.23,272.69,283.336,288.653,294.648,
2004-05-26 00:00:00,8.777,11.94,25.605,41.578,50.303,67.39,86.906,117.425,122.798,156.565,161.85,172.862,177.665,185.352,198.385,220.301,228.371,232.813,241.995,252.219,272.675,283.32,288.633,294.63,
2004-06-25 00:00:00,8.777,11.942,25.607,41.578,50.303,67.388,86.904,117.422,122.797,156.562,161.847,172.86,177.664,185.348,198.383,220.294,228.365,232.81,241.988,252.213,272.667,283.312,288.627,294.62,
2004-07-26 00:00:00,8.777,11.942,25.608,41.58,50.303,67.39,86.907,117.427,122.8,156.567,161.85,172.867,177.67,185.354,198.389,220.303,228.372,232.812,241.993,252.216,272.669,283.312,288.629,294.624,
2004-08-27 00:00:00,8.777,11.942,25.609,41.578,50.307,67.385,86.911,117.43,122.804,156.571,161.854,172.87,177.675,185.358,198.392,220.306,228.377,232.815,241.995,252.215,272.669,283.31,288.629,294.62,
2004-09-30 00:00:00,8.777,11.94,25.61,41.58,50.307,67.395,86.912,117.43,122.803,156.572,161.856,172.87,177.673,185.356,198.389,220.303,228.374,232.815,241.996,252.214,272.666,283.307,288.625,294.618,
2004-10-28 00:00:00,8.777,11.941,25.608,41.578,50.305,67.393,86.907,117.425,122.803,156.567,161.848,172.861,177.668,185.348,198.381,220.294,228.368,232.804,241.986,252.203,272.653,283.294,288.611,294.605,
2004-11-26 00:00:00,8.777,11.94,25.608,41.577,50.304,67.391,86.906,117.424,122.801,156.565,161.85,172.863,177.665,185.348,198.383,220.297,228.368,232.805,241.989,252.204,272.651,283.292,288.607,294.601,
2004-12-24 00:00:00,8.777,11.939,25.608,41.577,50.305,67.394,86.905,117.428,122.805,156.567,161.851,172.866,177.668,185.352,198.384,220.298,228.369,232.807,241.987,252.205,272.651,283.293,288.605,294.603,
2005-01-25 00:00:00,8.775,11.939,25.608,41.578,50.303,67.391,86.904,117.424,122.799,156.56,161.844,172.858,177.663,185.346,198.378,220.293,228.362,232.8,241.977,252.197,272.641,283.281,288.591,294.59,
2005-02-24 00:00:00,8.777,11.937,25.607,41.576,50.304,67.388,86.9,117.42,122.795,156.556,161.84,172.855,177.656,185.338,198.37,220.286,228.353,232.79,241.967,252.188,272.629,283.269,288.584,294.577,
2005-03-24 00:00:00,8.775,11.937,25.606,41.576,50.304,67.388,86.902,117.418,122.794,156.558,161.84,172.854,177.655,185.339,198.371,220.285,228.353,232.79,241.966,252.184,272.626,283.266,288.582,294.575,
2005-04-22 00:00:00,8.775,11.939,25.608,41.576,50.303,67.388,86.903,117.416,122.794,156.555,161.834,172.851,177.655,185.333,198.368,220.281,228.35,232.787,241.964,252.181,272.621,283.26,288.574,294.567,
2005-05-30 00:00:00,8.776,11.941,25.607,41.577,50.303,67.387,86.903,117.416,122.792,156.553,161.834,172.849,177.653,185.332,198.366,220.278,228.346,232.785,241.961,252.176,272.616,283.254,288.567,294.561,
2005-06-13 00:00:00,8.778,11.94,25.61,41.578,50.305,67.389,86.905,117.418,122.797,156.555,161.838,172.854,177.659,185.337,198.371,220.281,228.352,232.787,241.963,252.182,272.618,283.257,288.569,294.563,
